greeter	screener	dispenser	medic	resources	throughput	time	prescreened
9	24	38	5	76	2930.333333	31.26150997	40
5	24	38	11	78	2943.333333	23.4841373	40
15	3	55	5	78	4045.666667	33.94593218	40
7	14	47	11	79	3602.333333	23.97550169	40
15	3	57	7	82	4179.666667	32.82157112	40
20	3	55	5	83	4192.333333	33.20700976	40
5	20	57	4	86	3100.666667	22.18601508	40
24	3	55	5	87	4197.333333	33.02097779	40
24	1	57	7	89	4269.333333	31.88312285	40
13	13	57	7	90	4315.666667	30.99223076	40
5	28	47	11	91	3090.666667	21.82422499	40
5	20	57	11	93	3095.666667	21.73355801	40
8	29	52	4	93	3982.333333	27.06499956	40
24	8	59	2	93	4482.333333	37.55216148	40
17	13	57	7	94	4343.666667	31.68072096	40
22	8	57	7	94	4353.333333	32.10893512	40
18	13	57	7	95	4345.333333	30.85198635	40
6	27	52	11	96	3674.666667	20.60753533	40
20	6	59	11	96	4500.333333	31.28189726	40
6	20	60	11	97	3700.333333	20.61669433	40
18	13	57	11	99	4331.333333	30.85104704	40
8	29	52	11	100	3954.666667	22.94326837	40
8	29	57	7	101	4358.666667	20.6965952	40
24	13	57	7	101	4397.333333	30.45409726	40
24	8	59	11	102	4543.666667	31.38865089	40
18	13	59	16	106	4468.666667	30.51993284	40
7	35	57	11	110	4259	19.24456084	40
16	26	60	11	113	4632	24.11936146	40
7	35	60	14	116	4308	18.91116347	40
23	26	60	11	120	4619.666667	24.0812218	40
16	26	60	21	123	4617.666667	23.93144861	40
18	39	60	13	130	4480.333333	20.04459131	40
19	40	60	13	132	4565	17.74874041	40
13	37	60	23	133	4617	21.37803171	40
18	37	60	23	138	4568.333333	18.4583194	40
46	39	60	21	166	4650.333333	17.33393909	40
22	58	60	32	172	4651	17.41620916	40
9	12	5	1	27	393	68.62050109	50
6	15	5	2	28	413	52.29421005	50
1	1	27	6	35	510.6666667	39.24698202	50
4	6	25	7	42	1925	31.72782735	50
6	6	27	6	45	2082	41.08317722	50
1	20	26	1	48	615	31.24797827	50
15	1	27	6	49	2105.333333	49.96339754	50
7	6	38	1	52	2899.666667	46.97350009	50
1	20	26	7	54	615	28.3235183	50
8	12	34	1	55	2596	45.01753715	50
18	6	27	6	57	2105.333333	44.74345518	50
9	12	30	7	58	2333.333333	37.65574565	50
16	3	38	1	58	2843	46.20158567	50
4	12	39	5	60	2466.333333	23.48605671	50
4	14	36	6	60	2476	23.5850767	50
20	1	34	5	60	2603.666667	44.71701779	50
6	6	38	11	61	2839	32.90600412	50
18	6	38	1	63	2921.333333	47.38340963	50
9	12	39	5	65	2972	34.12321638	50
9	12	39	7	67	3005.333333	34.19355916	50
4	22	37	5	68	2489.666667	23.39587648	50
6	15	41	6	68	3064.333333	25.54914993	50
6	15	42	7	70	3153	25.10501716	50
4	22	37	11	74	2489.333333	23.39033312	50
9	12	52	1	74	3967	44.4558916	50
15	3	55	5	78	4138	37.88462304	50
16	3	55	5	79	4166.333333	37.95512619	50
9	12	52	7	80	3908	27.82992665	50
8	13	57	7	85	4356.333333	21.06734515	50
11	13	57	5	86	4411.333333	29.51224564	50
16	3	58	11	88	4492.666667	36.22906124	50
15	1	60	21	97	4529.333333	35.90971829	50
15	3	60	21	99	4518.333333	35.70217537	50
24	13	57	7	101	4420.333333	30.98206562	50
18	6	60	21	105	4549	34.51270046	50
24	13	58	11	106	4491	30.56115078	50
10	28	58	11	107	4422.333333	22.50214675	50
7	35	58	11	111	4286.333333	19.18344757	50
16	14	60	21	111	4549	29.96458054	50
10	28	60	14	112	4531.333333	21.85930871	50
9	24	60	21	114	4562.666667	20.72457723	50
19	24	60	21	124	4655.333333	23.30137576	50
18	26	60	21	125	4674.333333	21.49539946	50
22	41	58	11	132	4432.333333	19.58447326	50
37	47	52	11	147	3975.666667	19.13219984	50
22	58	58	11	149	4559	17.62828791	50
25	39	60	58	182	4673.333333	17.38881715	50
1	4	4	11	20	313	43.31628912	60
1	4	16	11	32	620.6666667	28.21986309	60
1	10	14	7	32	628.6666667	28.28751932	60
19	5	12	1	37	900.3333333	60.7442188	60
1	6	25	7	39	631.6666667	28.31766405	60
4	6	25	5	40	1934	29.46990029	60
15	1	27	6	49	2025.333333	52.90387815	60
4	6	34	6	50	2479.666667	23.95771965	60
4	6	42	4	56	2495.666667	23.94074945	60
4	6	41	6	57	2493.666667	23.44772022	60
12	6	38	1	57	2860	44.37736567	60
8	12	34	6	60	2609.333333	31.84643757	60
9	12	38	1	60	2878	47.09903926	60
9	6	41	6	62	3120.333333	39.34083106	60
4	12	37	11	64	2466.333333	23.27039829	60
4	14	41	6	65	2465.666667	23.21446557	60
9	12	37	7	65	2841.333333	30.70373878	60
9	12	39	5	65	3008.333333	32.44882845	60
12	6	41	6	65	3134.333333	42.2367981	60
5	15	42	4	66	3070	22.61234112	60
13	6	41	6	66	3218.666667	42.37119549	60
9	15	42	4	70	3207.333333	28.88258401	60
5	15	42	11	73	3082	22.33460048	60
9	3	55	7	74	3879.333333	37.85561228	60
15	3	55	5	78	4171	40.5654879	60
5	13	57	5	80	3078	22.09187719	60
20	15	42	4	81	3270	33.46971106	60
12	6	60	4	82	4606	34.47016099	60
8	29	41	6	84	3108	28.1681114	60
8	13	57	7	85	4317	20.78541479	60
9	14	60	5	88	4593.666667	21.95248065	60
12	6	60	11	89	4609.333333	34.16513066	60
9	12	60	11	92	4457.333333	21.83160658	60
20	6	60	7	93	4636.333333	34.74088227	60
7	35	60	7	109	4296.333333	19.00781798	60
15	26	58	11	110	4418	21.57169141	60
16	26	58	11	111	4404.333333	20.7976489	60
16	26	60	11	113	4547.333333	20.16650379	60
22	26	58	11	117	4464.666667	18.04019134	60
22	30	60	6	118	4592.333333	20.47432234	60
17	37	60	5	119	4598.666667	22.06974617	60
22	14	60	23	119	4655	28.42680252	60
13	42	60	5	120	4616	23.19058088	60
22	30	58	11	121	4471.666667	18.17595315	60
13	37	60	11	121	4616.333333	21.3917335	60
15	26	60	21	122	4603.333333	20.54221947	60
16	26	60	21	123	4536	20.08306385	60
22	35	60	7	124	4570.333333	19.19939112	60
21	37	60	7	125	4620.666667	19.1113255	60
22	26	58	23	129	4468.333333	18.02624695	60
22	30	60	21	133	4512	17.57652423	60
24	30	60	23	137	4625.666667	17.23245617	60
30	44	60	23	157	4658.666667	17.17549874	60
15	3	5	2	25	399	59.29787321	70
8	3	16	6	33	1245.666667	56.24602907	70
4	6	12	13	35	961.3333333	41.87323049	70
4	1	27	6	38	1931	46.21092227	70
9	12	12	7	40	930	39.57755061	70
1	33	5	2	41	363.3333333	39.45457281	70
4	6	25	7	42	1884	30.16446346	70
15	1	27	6	49	2034.333333	52.74484009	70
8	6	38	1	53	2844	52.1510907	70
9	6	38	1	54	2953.666667	54.56277863	70
22	21	1	11	55	92.33333333	27.58733272	70
4	6	41	6	57	2470.666667	23.57668205	70
13	6	38	1	58	2917	53.06738991	70
4	6	46	5	61	2462.333333	23.48202257	70
4	24	38	1	67	2481.666667	32.38035777	70
22	6	38	1	67	2999.333333	48.86375294	70
9	14	41	5	69	3095	28.55868954	70
15	3	55	5	78	4161.666667	42.92061958	70
16	3	55	5	79	4204	40.75232702	70
12	6	47	16	81	3591	38.07507159	70
5	26	47	5	83	3074.333333	22.16142211	70
8	6	58	11	83	4366.333333	26.15603756	70
15	1	60	7	83	4608.666667	40.57642818	70
9	12	58	5	84	4387.333333	22.42179439	70
9	12	58	11	90	4412.666667	21.8019349	70
19	24	42	11	96	3213	21.24585538	70
19	24	47	7	97	3498	20.79320034	70
16	12	58	11	97	4444.666667	27.6408672	70
22	14	60	4	100	4500.333333	30.0577298	70
20	21	55	5	101	4146.666667	20.35020148	70
22	14	58	7	101	4454.666667	25.12511339	70
16	26	60	4	106	4616.333333	25.98762375	70
22	21	57	7	107	4299.333333	19.04364288	70
22	21	58	7	108	4491.666667	18.84588362	70
16	26	60	6	108	4645.333333	21.47380851	70
22	21	55	11	109	4213.666667	18.71521817	70
25	21	57	7	110	4384.666667	18.41354091	70
25	26	57	7	115	4385	18.79917643	70
25	26	60	4	115	4669	25.83837208	70
25	26	58	7	116	4455.666667	18.29107329	70
9	26	60	21	116	4537.333333	21.12419043	70
25	26	60	7	118	4643	17.93895203	70
15	26	60	23	124	4674.333333	20.33542462	70
22	21	60	23	126	4568	17.70834224	70
25	26	60	19	130	4604.666667	17.53005067	70
15	39	60	23	137	4686	20.37615035	70
42	26	60	23	151	4633	17.41228873	70
1	1	27	5	34	630.6666667	28.53255423	80
4	6	25	1	36	1933.333333	29.7533647	80
1	6	25	6	38	632.6666667	28.17260126	80
4	1	27	6	38	2010.333333	43.98102292	80
9	1	27	1	38	2064.333333	55.62631418	80
4	6	25	6	41	1934.666667	29.75050195	80
16	1	27	4	48	2062.333333	53.58981639	80
15	1	27	6	49	2096	54.72064704	80
4	6	35	5	50	2463	23.89186732	80
4	6	38	4	52	2442.666667	23.69986925	80
8	6	38	4	56	2900.333333	29.57309732	80
4	6	41	6	57	2460	23.72536084	80
12	6	38	1	57	2951.666667	47.9299907	80
12	6	38	2	58	2904	35.55993122	80
12	6	38	4	60	2904.333333	35.10754915	80
12	1	41	6	60	3177.666667	50.97819245	80
8	6	47	6	67	3570	25.17896874	80
19	14	32	5	70	2477	23.45242126	80
12	6	47	6	71	3600	33.16335922	80
18	13	39	5	75	2962.666667	23.24054312	80
15	3	55	5	78	4219.333333	40.79669569	80
19	13	41	6	79	3217.333333	22.11524136	80
15	6	58	1	80	4412.666667	39.84806426	80
18	13	47	4	82	3668.666667	22.17791058	80
22	14	36	11	83	2766	22.07201677	80
18	13	47	6	84	3671	21.08985552	80
12	6	60	6	84	4516	28.64498069	80
8	6	60	11	85	4545.333333	19.53756074	80
9	12	60	11	92	4558.333333	20.75343723	80
18	13	57	6	94	4381.666667	19.30228042	80
18	13	57	7	95	4378.333333	19.26553773	80
22	13	57	7	99	4309	18.66035711	80
24	13	57	5	99	4347.666667	18.93555834	80
24	13	58	6	101	4445	18.40107826	80
18	15	57	11	101	4448	19.22811053	80
25	13	57	7	102	4414.333333	18.08775239	80
18	13	60	11	102	4658	18.50799323	80
24	13	58	9	104	4482.666667	18.10506898	80
25	15	58	9	107	4446.333333	18.07383387	80
24	17	58	11	110	4417.666667	17.6847542	80
13	37	60	1	111	4660.333333	33.96624697	80
24	17	60	23	124	4481	17.80845949	80
22	37	58	11	128	4488.333333	17.66911668	80
25	39	60	11	135	4600.333333	17.76421051	80
19	37	60	23	139	4611.333333	18.05090342	80
22	37	60	23	142	4608.333333	17.77842427	80
1	11	6	4	22	469.3333333	35.39480877	90
12	11	6	4	33	474.3333333	38.32601912	90
4	6	25	6	41	1900.333333	30.13700899	90
4	6	27	6	43	2067	27.69180369	90
24	11	6	4	45	471	27.5595634	90
4	6	34	1	45	2449.666667	32.79276626	90
22	10	14	5	51	1089.333333	25.7964732	90
18	11	21	4	54	1635.666667	26.67732428	90
5	11	35	5	56	2679.333333	26.14346023	90
22	14	16	5	57	1215.333333	25.91205037	90
12	6	38	1	57	2986	35.09587807	90
4	6	34	14	58	2461	23.97054615	90
15	7	35	5	62	2727.666667	26.81049302	90
5	12	41	6	64	3037.333333	22.63572841	90
12	6	41	6	65	3136.666667	27.8553102	90
15	3	41	6	65	3159.666667	36.72492079	90
5	12	52	1	70	3091.666667	23.68667184	90
8	17	41	6	72	3117	27.82779908	90
16	14	41	1	72	3203.666667	34.62590864	90
5	12	55	1	73	3062.666667	23.24348947	90
22	6	41	7	76	3109.333333	23.44946149	90
15	14	41	6	76	3135.666667	25.56113121	90
5	12	55	5	77	3061.333333	22.07852674	90
16	14	41	6	77	3126	24.61564564	90
19	12	41	6	78	3128	21.45489007	90
15	3	55	5	78	4143	33.08390328	90
12	6	60	1	79	4605.666667	29.60924225	90
12	6	57	7	82	4365.333333	23.20464088	90
22	14	41	6	83	3167	21.42901389	90
12	6	60	6	84	4642.333333	21.96502469	90
24	14	41	6	85	3095	21.07101903	90
8	11	60	7	86	4521.666667	19.50848723	90
19	14	52	6	91	4024	19.17284011	90
22	14	57	6	99	4416	18.3190066	90
22	11	60	7	100	4528.666667	17.81016015	90
22	17	58	11	108	4469	17.7292344	90
19	24	60	6	109	4675.333333	17.96787696	90
22	14	60	23	119	4547.666667	17.72895288	90
19	24	60	21	124	4633.666667	17.92523717	90
25	39	60	1	125	4694	26.02189864	90
25	39	60	5	129	4679	17.4858373	90
25	39	60	23	147	4620	17.40424985	90
